,County,Station,YYYYMMDD,ToM,Daily Average,Validity,Date,Year,Month,Day,Day Number,Decimal Year
0,Ήπειρος,IOI,20140101,00:00,54,1,2014-01-01,2014,1,1,1,2014.0013698630137
1,Ήπειρος,IOI,20140102,00:00,94,1,2014-01-02,2014,1,2,2,2014.004109589041
2,Ήπειρος,IOI,20140103,00:00,118,1,2014-01-03,2014,1,3,3,2014.0068493150684
3,Ήπειρος,IOI,20140104,00:00,126,1,2014-01-04,2014,1,4,4,2014.009589041096
4,Ήπειρος,IOI,20140105,00:00,44,1,2014-01-05,2014,1,5,5,2014.0123287671233
5,Ήπειρος,IOI,20140106,00:00,17,1,2014-01-06,2014,1,6,6,2014.0150684931507
6,Ήπειρος,IOI,20140107,00:00,53,1,2014-01-07,2014,1,7,7,2014.017808219178
7,Ήπειρος,IOI,20140108,00:00,81,1,2014-01-08,2014,1,8,8,2014.0205479452054
8,Ήπειρος,IOI,20140109,00:00,121,1,2014-01-09,2014,1,9,9,2014.0232876712328
9,Ήπειρος,IOI,20140110,00:00,78,1,2014-01-10,2014,1,10,10,2014.0260273972603
10,Ήπειρος,IOI,20140111,00:00,79,1,2014-01-11,2014,1,11,11,2014.0287671232877
11,Ήπειρος,IOI,20140112,00:00,73,1,2014-01-12,2014,1,12,12,2014.031506849315
12,Ήπειρος,IOI,20140113,00:00,104,1,2014-01-13,2014,1,13,13,2014.0342465753424
13,Ήπειρος,IOI,20140114,00:00,51,1,2014-01-14,2014,1,14,14,2014.0369863013698
14,Ήπειρος,IOI,20140115,00:00,21,1,2014-01-15,2014,1,15,15,2014.0397260273974
15,Ήπειρος,IOI,20140116,00:00,29,1,2014-01-16,2014,1,16,16,2014.0424657534247
16,Ήπειρος,IOI,20140117,00:00,67,1,2014-01-17,2014,1,17,17,2014.045205479452
17,Ήπειρος,IOI,20140118,00:00,51,1,2014-01-18,2014,1,18,18,2014.0479452054794
18,Ήπειρος,IOI,20140119,00:00,30,1,2014-01-19,2014,1,19,19,2014.0506849315068
19,Ήπειρος,IOI,20140120,00:00,78,1,2014-01-20,2014,1,20,20,2014.0534246575342
20,Ήπειρος,IOI,20140121,00:00,34,1,2014-01-21,2014,1,21,21,2014.0561643835617
21,Ήπειρος,IOI,20140122,00:00,11,1,2014-01-22,2014,1,22,22,2014.058904109589
22,Ήπειρος,IOI,20140123,00:00,31,1,2014-01-23,2014,1,23,23,2014.0616438356165
23,Ήπειρος,IOI,20140124,00:00,18,1,2014-01-24,2014,1,24,24,2014.0643835616438
24,Ήπειρος,IOI,20140125,00:00,21,1,2014-01-25,2014,1,25,25,2014.0671232876712
25,Ήπειρος,IOI,20140126,00:00,30,1,2014-01-26,2014,1,26,26,2014.0698630136985
26,Ήπειρος,IOI,20140127,00:00,30,1,2014-01-27,2014,1,27,27,2014.072602739726
27,Ήπειρος,IOI,20140128,00:00,25,1,2014-01-28,2014,1,28,28,2014.0753424657535
28,Ήπειρος,IOI,20140129,00:00,40,1,2014-01-29,2014,1,29,29,2014.0780821917808
29,Ήπειρος,IOI,20140130,00:00,23,1,2014-01-30,2014,1,30,30,2014.0808219178082
30,Ήπειρος,IOI,20140131,00:00,15,1,2014-01-31,2014,1,31,31,2014.0835616438355
31,Ήπειρος,IOI,20140201,00:00,25,1,2014-02-01,2014,2,1,32,2014.0863013698631
32,Ήπειρος,IOI,20140202,00:00,16,1,2014-02-02,2014,2,2,33,2014.0890410958905
33,Ήπειρος,IOI,20140203,00:00,18,1,2014-02-03,2014,2,3,34,2014.0917808219178
34,Ήπειρος,IOI,20140204,00:00,11,1,2014-02-04,2014,2,4,35,2014.0945205479452
35,Ήπειρος,IOI,20140205,00:00,20,1,2014-02-05,2014,2,5,36,2014.0972602739726
36,Ήπειρος,IOI,20140206,00:00,23,1,2014-02-06,2014,2,6,37,2014.1
37,Ήπειρος,IOI,20140207,00:00,58,1,2014-02-07,2014,2,7,38,2014.1027397260275
38,Ήπειρος,IOI,20140208,00:00,21,1,2014-02-08,2014,2,8,39,2014.1054794520549
39,Ήπειρος,IOI,20140209,00:00,15,1,2014-02-09,2014,2,9,40,2014.1082191780822
40,Ήπειρος,IOI,20140210,00:00,26,1,2014-02-10,2014,2,10,41,2014.1109589041096
41,Ήπειρος,IOI,20140211,00:00,19,1,2014-02-11,2014,2,11,42,2014.113698630137
42,Ήπειρος,IOI,20140212,00:00,32,1,2014-02-12,2014,2,12,43,2014.1164383561643
43,Ήπειρος,IOI,20140213,00:00,19,1,2014-02-13,2014,2,13,44,2014.1191780821919
44,Ήπειρος,IOI,20140214,00:00,41,1,2014-02-14,2014,2,14,45,2014.1219178082192
45,Ήπειρος,IOI,20140215,00:00,53,1,2014-02-15,2014,2,15,46,2014.1246575342466
46,Ήπειρος,IOI,20140216,00:00,34,1,2014-02-16,2014,2,16,47,2014.127397260274
47,Ήπειρος,IOI,20140217,00:00,33,1,2014-02-17,2014,2,17,48,2014.1301369863013
48,Ήπειρος,IOI,20140218,00:00,31,1,2014-02-18,2014,2,18,49,2014.1328767123289
49,Ήπειρος,IOI,20140219,00:00,25,1,2014-02-19,2014,2,19,50,2014.1356164383562
